epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.533,2.20506,4.59646,2.43908,0.10942,0.14985,0.05234,0.01395,2.50741,4.06134,3.00334,0.000474807,0.000474807,0.000474807
2,258.133,2.13686,3.51301,2.43548,0.12467,0.18619,0.062,0.01816,2.40728,3.85436,2.94481,0.000919752,0.000919752,0.000919752
3,380.693,2.1335,3.28466,2.44238,0.18628,0.16254,0.0586,0.01631,2.4198,3.54099,2.91096,0.00133326,0.00133326,0.00133326
4,503.164,2.09318,3.17856,2.39414,0.15866,0.17566,0.08278,0.02631,2.23823,3.07846,2.676,0.00128753,0.00128753,0.00128753
5,626.041,2.04497,3.0566,2.34956,0.23417,0.23141,0.14541,0.04814,2.25413,2.82969,2.70549,0.00124037,0.00124037,0.00124037
6,748.441,1.99551,2.94442,2.29924,0.21858,0.23891,0.14209,0.04781,2.1495,2.9984,2.61217,0.00119322,0.00119322,0.00119322
7,870.857,1.95479,2.85631,2.26977,0.29605,0.2815,0.22611,0.08323,2.14433,2.73258,2.63356,0.00114606,0.00114606,0.00114606
8,993.967,1.95007,2.76152,2.25083,0.29702,0.35537,0.2777,0.09983,2.10063,2.62303,2.51006,0.0010989,0.0010989,0.0010989
9,1115.78,1.92992,2.67932,2.21927,0.32325,0.34741,0.26133,0.09846,2.10313,2.48255,2.52673,0.00105174,0.00105174,0.00105174
10,1239.07,1.90295,2.62946,2.19836,0.32818,0.3466,0.28287,0.10663,2.10078,2.47609,2.49808,0.00100459,0.00100459,0.00100459
11,1360.98,1.88428,2.58344,2.1824,0.39633,0.37555,0.32686,0.13162,2.056,2.46818,2.50322,0.00095743,0.00095743,0.00095743
12,1484,1.86317,2.51051,2.15882,0.46787,0.39599,0.38651,0.14994,2.04967,2.30221,2.4749,0.000910273,0.000910273,0.000910273
13,1606.6,1.86671,2.46925,2.13804,0.43446,0.4416,0.39694,0.16597,2.04552,2.23591,2.45042,0.000863116,0.000863116,0.000863116
14,1730.71,1.85108,2.39948,2.10773,0.40933,0.41776,0.38043,0.15604,2.02608,2.24238,2.43141,0.000815959,0.000815959,0.000815959
15,1854.89,1.83353,2.36299,2.1002,0.4402,0.42509,0.42025,0.17982,2.00751,2.17106,2.42784,0.000768802,0.000768802,0.000768802
16,1978.84,1.82029,2.32326,2.08837,0.50799,0.48497,0.46831,0.20178,1.99595,2.08071,2.39076,0.000721645,0.000721645,0.000721645
17,2102.29,1.80484,2.2739,2.07563,0.49489,0.45942,0.45317,0.19855,1.99338,2.0944,2.37478,0.000674488,0.000674488,0.000674488
18,2226.85,1.79424,2.20671,2.06873,0.49113,0.49502,0.47247,0.19673,2.01054,2.10481,2.38212,0.000627331,0.000627331,0.000627331
19,2351.27,1.76512,2.18523,2.04408,0.54265,0.48216,0.49106,0.22101,1.95369,1.98377,2.34755,0.000580174,0.000580174,0.000580174
20,2474.59,1.77321,2.15583,2.03973,0.54099,0.51321,0.50674,0.22853,1.92823,2.00241,2.32868,0.000533017,0.000533017,0.000533017
21,2600.67,1.85801,2.06344,2.25125,0.50493,0.50471,0.51093,0.23287,1.93509,1.92778,2.32042,0.00048586,0.00048586,0.00048586
22,2722.64,1.82533,1.95615,2.20533,0.54659,0.52694,0.53972,0.24926,1.92447,1.87776,2.31225,0.000438703,0.000438703,0.000438703
23,2844.55,1.81566,1.89737,2.19656,0.56724,0.54364,0.56023,0.26014,1.90335,1.85575,2.30689,0.000391546,0.000391546,0.000391546
24,2966.26,1.79353,1.84749,2.16415,0.56534,0.53847,0.56562,0.26917,1.88947,1.7985,2.2778,0.000344389,0.000344389,0.000344389
25,3087.16,1.78068,1.81853,2.17152,0.57889,0.54722,0.57761,0.27099,1.90835,1.77958,2.29418,0.000297232,0.000297232,0.000297232
26,3208.37,1.75923,1.78076,2.14479,0.60736,0.55726,0.59286,0.28093,1.86624,1.73579,2.26336,0.000250075,0.000250075,0.000250075
27,3329.34,1.73173,1.71347,2.12215,0.59563,0.58805,0.60792,0.28789,1.87123,1.71464,2.2598,0.000202918,0.000202918,0.000202918
28,3450.17,1.7299,1.68671,2.11191,0.62094,0.58755,0.61856,0.29491,1.86007,1.68487,2.25218,0.000155761,0.000155761,0.000155761
29,3571.08,1.70266,1.65462,2.09131,0.64741,0.59802,0.62927,0.30374,1.85973,1.65171,2.25729,0.000108604,0.000108604,0.000108604
30,3692.47,1.69416,1.62312,2.08878,0.63794,0.59352,0.63119,0.30624,1.85791,1.64701,2.24638,6.1447e-05,6.1447e-05,6.1447e-05
