epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1877,2.04246,8.06234,1.51582,0.14419,0.1312,0.06384,0.01988,2.25551,7.86575,1.80604,0.000474807,0.000474807,0.000474807
2,168.529,2.0147,6.53793,1.52082,0.11579,0.25778,0.06982,0.02106,2.28167,6.33581,1.77492,0.000937688,0.000937688,0.000937688
3,250.907,2.02724,6.09424,1.52492,0.15981,0.20561,0.08251,0.02236,2.30682,6.3575,1.79793,0.0013871,0.0013871,0.0013871
4,332.708,2.03064,5.90932,1.51618,0.1633,0.17924,0.09031,0.02574,2.32325,6.20561,1.79653,0.00136837,0.00136837,0.00136837
5,414.525,1.96559,5.67645,1.4892,0.29872,0.29278,0.22049,0.07192,2.15216,5.43129,1.67733,0.00134816,0.00134816,0.00134816
6,495.518,1.93345,5.41521,1.44491,0.35495,0.32686,0.28557,0.11164,1.99593,4.97404,1.57377,0.00132795,0.00132795,0.00132795
7,575.928,1.89534,5.27947,1.42123,0.40411,0.30801,0.30761,0.11081,2.00479,5.1634,1.57406,0.00130774,0.00130774,0.00130774
8,656.944,1.89151,5.12173,1.41456,0.3945,0.38724,0.31626,0.10874,2.04816,4.63435,1.58361,0.00128753,0.00128753,0.00128753
9,737.475,1.84883,4.99748,1.38952,0.43262,0.40538,0.3843,0.15019,1.99236,4.48597,1.55711,0.00126732,0.00126732,0.00126732
10,819.051,1.84005,4.85552,1.37531,0.50811,0.42343,0.42422,0.17174,1.9444,4.34367,1.52996,0.00124711,0.00124711,0.00124711
11,900.316,1.82943,4.77771,1.37048,0.41297,0.44721,0.41144,0.17263,1.94549,4.36128,1.53101,0.0012269,0.0012269,0.0012269
12,981.17,1.80662,4.72576,1.35218,0.48472,0.46767,0.4553,0.19504,1.90887,4.07415,1.5043,0.00120669,0.00120669,0.00120669
13,1061.79,1.79267,4.55224,1.33192,0.47984,0.45632,0.46748,0.19711,1.92003,4.0294,1.48059,0.00118648,0.00118648,0.00118648
14,1143.24,1.79219,4.57171,1.34548,0.47842,0.43774,0.43326,0.17242,1.965,4.19655,1.54207,0.00116627,0.00116627,0.00116627
15,1224.55,1.77801,4.45776,1.33567,0.58644,0.49537,0.51453,0.22172,1.89949,3.89572,1.48525,0.00114606,0.00114606,0.00114606
16,1305.7,1.77458,4.35264,1.32056,0.52801,0.5186,0.52354,0.22248,1.91338,3.84299,1.47319,0.00112585,0.00112585,0.00112585
17,1386.31,1.77146,4.30926,1.32181,0.5081,0.50383,0.49715,0.21589,1.8982,3.81287,1.48431,0.00110564,0.00110564,0.00110564
18,1467.52,1.74659,4.21721,1.30854,0.53902,0.5441,0.54083,0.22882,1.92467,3.65705,1.47549,0.00108543,0.00108543,0.00108543
19,1548.38,1.74265,4.19259,1.31307,0.49525,0.56281,0.55618,0.23563,1.88811,3.64433,1.47582,0.00106522,0.00106522,0.00106522
20,1630.07,1.72289,4.1359,1.30924,0.56467,0.52955,0.54645,0.24991,1.81822,3.64626,1.41723,0.00104501,0.00104501,0.00104501
21,1711.42,1.72786,4.04587,1.28218,0.57318,0.54683,0.56163,0.25442,1.86819,3.53058,1.44112,0.0010248,0.0010248,0.0010248
22,1793.54,1.73178,4.02331,1.28989,0.5604,0.55055,0.55443,0.25472,1.86865,3.56605,1.45643,0.00100459,0.00100459,0.00100459
23,1875.31,1.71445,4.00835,1.28673,0.56591,0.54841,0.55813,0.24028,1.85939,3.53422,1.43995,0.000984377,0.000984377,0.000984377
24,1956.65,1.70071,3.93226,1.27463,0.60427,0.5544,0.57679,0.26099,1.85317,3.43309,1.42575,0.000964167,0.000964167,0.000964167
25,2038.9,1.70382,3.9321,1.2691,0.61216,0.54712,0.58018,0.26586,1.83666,3.3526,1.43422,0.000943957,0.000943957,0.000943957
26,2120.5,1.69124,3.80868,1.2649,0.60538,0.57634,0.59157,0.27555,1.84202,3.29213,1.40621,0.000923746,0.000923746,0.000923746
27,2201.44,1.67293,3.73888,1.26109,0.6204,0.58864,0.60996,0.27645,1.82053,3.21136,1.42849,0.000903536,0.000903536,0.000903536
28,2282.62,1.67736,3.74869,1.25508,0.61225,0.60263,0.61879,0.28303,1.81125,3.20753,1.3987,0.000883326,0.000883326,0.000883326
29,2364.09,1.66051,3.6615,1.24578,0.62236,0.59474,0.61632,0.28293,1.80852,3.24065,1.40709,0.000863116,0.000863116,0.000863116
30,2445.68,1.64457,3.61598,1.23212,0.63059,0.60303,0.62547,0.28788,1.79996,3.11319,1.39082,0.000842906,0.000842906,0.000842906
31,2527.11,1.65691,3.62062,1.24058,0.62548,0.59665,0.62276,0.2903,1.81218,3.13423,1.39315,0.000822696,0.000822696,0.000822696
32,2607.72,1.64836,3.59689,1.23809,0.63409,0.6298,0.6449,0.29944,1.80954,3.02746,1.40446,0.000802486,0.000802486,0.000802486
33,2689.29,1.64235,3.5491,1.23744,0.6505,0.63862,0.65269,0.31247,1.78266,3.01411,1.38108,0.000782275,0.000782275,0.000782275
34,2769.86,1.63227,3.45758,1.22479,0.62388,0.63519,0.64386,0.30731,1.78571,2.99033,1.3751,0.000762065,0.000762065,0.000762065
35,2851.13,1.6161,3.45689,1.21895,0.67533,0.63934,0.66344,0.31657,1.76421,2.91478,1.36597,0.000741855,0.000741855,0.000741855
36,2932.01,1.62457,3.42745,1.20705,0.65365,0.62336,0.6471,0.31015,1.78337,2.95395,1.38145,0.000721645,0.000721645,0.000721645
37,3012.86,1.60856,3.37179,1.2092,0.63525,0.63488,0.65882,0.32162,1.72631,2.9173,1.35652,0.000701435,0.000701435,0.000701435
38,3094.28,1.60193,3.32803,1.20463,0.67989,0.63655,0.67155,0.32148,1.76678,2.88757,1.3746,0.000681225,0.000681225,0.000681225
39,3176.19,1.60347,3.33384,1.20455,0.67561,0.64687,0.67111,0.32508,1.76803,2.82234,1.36449,0.000661015,0.000661015,0.000661015
40,3257.25,1.58716,3.24479,1.19877,0.69706,0.67043,0.68523,0.3326,1.7779,2.78271,1.36849,0.000640804,0.000640804,0.000640804
41,3338.59,1.59164,3.20482,1.19355,0.7001,0.6393,0.67552,0.3271,1.76679,2.7556,1.36818,0.000620594,0.000620594,0.000620594
42,3419.26,1.58,3.17525,1.18072,0.7023,0.64197,0.68417,0.33517,1.74643,2.7719,1.34492,0.000600384,0.000600384,0.000600384
43,3500.45,1.58638,3.16477,1.18198,0.72134,0.66433,0.70066,0.34283,1.73072,2.72732,1.34619,0.000580174,0.000580174,0.000580174
44,3581.77,1.58259,3.15881,1.18149,0.70416,0.66888,0.69414,0.3452,1.72564,2.7349,1.34333,0.000559964,0.000559964,0.000559964
45,3663.52,1.56737,3.08037,1.1779,0.7069,0.66778,0.69936,0.34237,1.75229,2.66154,1.34796,0.000539754,0.000539754,0.000539754
46,3744.7,1.55228,3.0134,1.16356,0.71655,0.67064,0.69943,0.34677,1.74755,2.61397,1.3452,0.000519544,0.000519544,0.000519544
47,3826.43,1.55196,3.00253,1.16569,0.68549,0.68163,0.7025,0.3464,1.75013,2.60084,1.34575,0.000499333,0.000499333,0.000499333
48,3908.15,1.54993,2.98664,1.16947,0.71923,0.68087,0.70665,0.35413,1.72909,2.59736,1.32655,0.000479123,0.000479123,0.000479123
49,3989.79,1.54083,3.01868,1.16138,0.71992,0.68486,0.71557,0.3555,1.71305,2.55017,1.31147,0.000458913,0.000458913,0.000458913
50,4071.11,1.54639,2.99767,1.15585,0.71128,0.69213,0.71501,0.35547,1.73451,2.53504,1.32197,0.000438703,0.000438703,0.000438703
51,4152.18,1.52162,2.9493,1.14577,0.77173,0.6874,0.72519,0.36681,1.71637,2.482,1.31819,0.000418493,0.000418493,0.000418493
52,4232.94,1.52062,2.89358,1.14601,0.73427,0.68633,0.71852,0.36409,1.70697,2.4665,1.31641,0.000398283,0.000398283,0.000398283
53,4313.21,1.50403,2.85334,1.13709,0.74751,0.69018,0.72607,0.36368,1.71062,2.49099,1.31532,0.000378073,0.000378073,0.000378073
54,4393.46,1.5057,2.84357,1.13423,0.73342,0.68765,0.71755,0.36805,1.69377,2.4687,1.30495,0.000357862,0.000357862,0.000357862
55,4474.94,1.48353,2.77966,1.12412,0.75985,0.69495,0.72681,0.37093,1.71031,2.45059,1.31222,0.000337652,0.000337652,0.000337652
56,4555.89,1.50053,2.8025,1.13344,0.74138,0.69924,0.72924,0.37015,1.70388,2.44093,1.31033,0.000317442,0.000317442,0.000317442
57,4637.44,1.48812,2.76396,1.12309,0.76204,0.70471,0.7382,0.37626,1.70895,2.42466,1.31143,0.000297232,0.000297232,0.000297232
58,4719.83,1.49314,2.77688,1.13118,0.7553,0.7095,0.73516,0.37294,1.71154,2.39928,1.30964,0.000277022,0.000277022,0.000277022
59,4801.32,1.4735,2.68351,1.12129,0.75359,0.70904,0.73923,0.3747,1.71226,2.41255,1.31176,0.000256812,0.000256812,0.000256812
60,4883.66,1.46775,2.66579,1.10906,0.76831,0.71714,0.73886,0.38023,1.69885,2.36005,1.30495,0.000236602,0.000236602,0.000236602
61,4965.14,1.52104,2.32825,1.20384,0.78062,0.70704,0.73849,0.37663,1.68757,2.35573,1.29556,0.000216391,0.000216391,0.000216391
62,5045.48,1.49649,2.20446,1.18631,0.76254,0.72538,0.74047,0.38506,1.68369,2.3159,1.29831,0.000196181,0.000196181,0.000196181
63,5125.66,1.47578,2.15707,1.18002,0.76942,0.72015,0.74502,0.38421,1.68506,2.29903,1.29887,0.000175971,0.000175971,0.000175971
64,5205.8,1.46221,2.11056,1.17241,0.79161,0.71684,0.75351,0.38963,1.67609,2.26844,1.29372,0.000155761,0.000155761,0.000155761
65,5286.25,1.44986,2.07538,1.16241,0.78458,0.72837,0.75448,0.39171,1.67541,2.26727,1.29096,0.000135551,0.000135551,0.000135551
66,5366.01,1.44362,2.04559,1.16701,0.78239,0.72295,0.75532,0.39225,1.67809,2.25271,1.29744,0.000115341,0.000115341,0.000115341
67,5446.05,1.43418,2.03272,1.15517,0.7866,0.73211,0.75808,0.39467,1.67134,2.24754,1.29141,9.51306e-05,9.51306e-05,9.51306e-05
68,5525.75,1.43588,2.00932,1.15155,0.79032,0.72774,0.75775,0.39533,1.66854,2.23676,1.28867,7.49204e-05,7.49204e-05,7.49204e-05
69,5605.47,1.42756,1.97609,1.14733,0.78161,0.72665,0.7551,0.39508,1.67206,2.22034,1.28913,5.47103e-05,5.47103e-05,5.47103e-05
70,5686.34,1.41508,1.97543,1.14057,0.76949,0.73988,0.75794,0.39682,1.67061,2.22,1.28772,3.45001e-05,3.45001e-05,3.45001e-05
