epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8812,1.47388,2.64136,1.11106,0.75881,0.69771,0.72799,0.36417,1.74002,2.4314,1.338,0.000474807,0.000474807,0.000474807
2,165.916,1.54022,2.86502,1.14695,0.69999,0.65483,0.68021,0.31781,1.80305,2.68143,1.37177,0.000932307,0.000932307,0.000932307
3,246.706,1.59308,3.11853,1.17986,0.66696,0.61904,0.64173,0.29103,1.88208,3.04931,1.43019,0.00137095,0.00137095,0.00137095
4,327.616,1.62489,3.30549,1.20175,0.65391,0.62605,0.64481,0.30603,1.83064,2.89312,1.38832,0.00134412,0.00134412,0.00134412
5,409.022,1.61427,3.25393,1.18973,0.72384,0.64937,0.67376,0.30821,1.85541,2.85175,1.41755,0.00131582,0.00131582,0.00131582
6,490.47,1.62617,3.25124,1.19871,0.6706,0.6353,0.66911,0.31802,1.80414,2.8024,1.36916,0.00128753,0.00128753,0.00128753
7,572.356,1.61892,3.25276,1.19299,0.68089,0.66092,0.67015,0.31222,1.7881,2.86375,1.36656,0.00125923,0.00125923,0.00125923
8,654.784,1.60058,3.20593,1.18742,0.69044,0.62863,0.65647,0.30126,1.83687,2.85492,1.39529,0.00123094,0.00123094,0.00123094
9,737.613,1.59622,3.16837,1.19175,0.67607,0.64397,0.65891,0.3105,1.79079,2.78067,1.38585,0.00120265,0.00120265,0.00120265
10,819.471,1.5825,3.07724,1.17287,0.72313,0.64583,0.68419,0.31953,1.80401,2.78433,1.3785,0.00117435,0.00117435,0.00117435
11,901.421,1.59885,3.12007,1.18365,0.73426,0.64152,0.6855,0.3243,1.78155,2.82584,1.35317,0.00114606,0.00114606,0.00114606
12,982.713,1.57922,3.09828,1.17323,0.73892,0.66126,0.69679,0.33348,1.78845,2.6929,1.35809,0.00111776,0.00111776,0.00111776
13,1065.01,1.56534,3.00606,1.16032,0.69197,0.65974,0.6782,0.32201,1.79934,2.71268,1.36865,0.00108947,0.00108947,0.00108947
14,1147.43,1.56144,3.05174,1.16758,0.71824,0.65198,0.69156,0.32767,1.77979,2.70783,1.36113,0.00106118,0.00106118,0.00106118
15,1230.12,1.55745,2.9571,1.15752,0.73104,0.65632,0.6947,0.33628,1.7688,2.66906,1.35294,0.00103288,0.00103288,0.00103288
16,1313.35,1.55117,2.92749,1.15311,0.75875,0.67922,0.71847,0.3411,1.7747,2.49714,1.35479,0.00100459,0.00100459,0.00100459
17,1395.71,1.54878,2.92358,1.15567,0.74515,0.67733,0.70791,0.34035,1.8052,2.54205,1.37212,0.000976293,0.000976293,0.000976293
18,1478.8,1.54953,2.86804,1.1569,0.74226,0.66546,0.70844,0.34854,1.75927,2.54997,1.33794,0.000947999,0.000947999,0.000947999
19,1561.68,1.53634,2.83364,1.15063,0.75597,0.70114,0.7213,0.35378,1.76472,2.45507,1.35009,0.000919704,0.000919704,0.000919704
20,1644.13,1.53178,2.81486,1.14644,0.77339,0.6765,0.71786,0.36049,1.74009,2.486,1.32244,0.00089141,0.00089141,0.00089141
21,1726.5,1.51801,2.76009,1.12548,0.76255,0.70531,0.73489,0.36603,1.74184,2.42755,1.33057,0.000863116,0.000863116,0.000863116
22,1808.94,1.51576,2.79937,1.13277,0.76309,0.68555,0.73504,0.36708,1.7181,2.45043,1.31808,0.000834822,0.000834822,0.000834822
23,1891.46,1.50633,2.76917,1.12637,0.75373,0.6923,0.71116,0.34409,1.78565,2.45653,1.34988,0.000806528,0.000806528,0.000806528
24,1974.02,1.49699,2.72142,1.12101,0.75078,0.6954,0.72582,0.35129,1.7669,2.41487,1.34296,0.000778233,0.000778233,0.000778233
25,2056.95,1.49318,2.73478,1.1234,0.78547,0.69943,0.73256,0.36233,1.7272,2.35895,1.31811,0.000749939,0.000749939,0.000749939
26,2140,1.48125,2.63585,1.1119,0.79389,0.70165,0.73753,0.36304,1.73835,2.31966,1.32563,0.000721645,0.000721645,0.000721645
27,2222.43,1.46907,2.6101,1.10851,0.76932,0.6981,0.73836,0.37639,1.70702,2.30363,1.30643,0.000693351,0.000693351,0.000693351
28,2306.23,1.47728,2.6026,1.10548,0.78254,0.69613,0.73776,0.37383,1.71961,2.27427,1.30914,0.000665057,0.000665057,0.000665057
29,2389.12,1.46274,2.5688,1.09723,0.75741,0.71144,0.7332,0.36769,1.71566,2.3156,1.30986,0.000636762,0.000636762,0.000636762
30,2471.95,1.44482,2.51211,1.08687,0.79872,0.69746,0.74574,0.38008,1.70919,2.24407,1.30703,0.000608468,0.000608468,0.000608468
31,2554.5,1.45714,2.51657,1.0972,0.80114,0.7067,0.75283,0.37692,1.70441,2.22628,1.32067,0.000580174,0.000580174,0.000580174
32,2636.74,1.44173,2.5136,1.09128,0.78224,0.72213,0.75024,0.38274,1.70426,2.22627,1.30995,0.00055188,0.00055188,0.00055188
33,2719.9,1.4416,2.48195,1.08821,0.78745,0.72909,0.75485,0.38301,1.70669,2.18792,1.30285,0.000523586,0.000523586,0.000523586
34,2801.9,1.42664,2.41649,1.0807,0.80296,0.7255,0.7533,0.38068,1.70886,2.22901,1.3142,0.000495291,0.000495291,0.000495291
35,2884.36,1.41259,2.39531,1.07464,0.81127,0.71989,0.76087,0.38943,1.70341,2.2045,1.31331,0.000466997,0.000466997,0.000466997
36,2966.99,1.43272,2.39339,1.07525,0.81013,0.72433,0.76238,0.38536,1.72834,2.17119,1.3241,0.000438703,0.000438703,0.000438703
37,3049.71,1.40309,2.33889,1.0664,0.78799,0.72473,0.75894,0.3902,1.69436,2.15784,1.29093,0.000410409,0.000410409,0.000410409
38,3131.92,1.40007,2.33015,1.06208,0.80393,0.73861,0.77282,0.39298,1.68615,2.12821,1.29451,0.000382115,0.000382115,0.000382115
39,3215.53,1.39205,2.33024,1.06088,0.80436,0.73025,0.76423,0.39391,1.69443,2.09781,1.30053,0.00035382,0.00035382,0.00035382
40,3298.26,1.37913,2.27495,1.05521,0.82273,0.72476,0.76456,0.39805,1.67842,2.10726,1.28907,0.000325526,0.000325526,0.000325526
41,3381.09,1.43753,1.92923,1.1406,0.80605,0.74041,0.7723,0.39977,1.68052,2.08147,1.28928,0.000297232,0.000297232,0.000297232
42,3462.97,1.39556,1.81268,1.1187,0.82168,0.73574,0.77757,0.40733,1.6646,2.06296,1.28311,0.000268938,0.000268938,0.000268938
43,3544.43,1.3816,1.79539,1.11668,0.82657,0.73904,0.78048,0.40928,1.67417,2.05581,1.28722,0.000240644,0.000240644,0.000240644
44,3625.79,1.36718,1.76071,1.10613,0.81376,0.75181,0.7818,0.4119,1.66133,2.07027,1.28139,0.000212349,0.000212349,0.000212349
45,3707.07,1.35599,1.73432,1.09971,0.82686,0.74506,0.77856,0.40724,1.67574,2.0344,1.29405,0.000184055,0.000184055,0.000184055
46,3788.47,1.34941,1.71227,1.10262,0.83039,0.75024,0.78462,0.41359,1.66598,1.99585,1.28298,0.000155761,0.000155761,0.000155761
47,3870.05,1.32745,1.66917,1.08359,0.82968,0.74617,0.77974,0.41312,1.66795,1.99728,1.28812,0.000127467,0.000127467,0.000127467
48,3951.25,1.31503,1.64221,1.07164,0.81918,0.75079,0.78194,0.41804,1.66274,1.98787,1.28229,9.91726e-05,9.91726e-05,9.91726e-05
49,4032.71,1.31702,1.64397,1.07859,0.82587,0.7532,0.78423,0.41683,1.66362,1.9772,1.28408,7.08784e-05,7.08784e-05,7.08784e-05
50,4113.83,1.31657,1.62925,1.07422,0.83216,0.74468,0.78299,0.41652,1.65927,1.97366,1.28199,4.25842e-05,4.25842e-05,4.25842e-05
