epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5866,1.19897,1.75302,0.9464,0.82958,0.76185,0.79102,0.42527,1.67346,1.92534,1.32048,0.000474807,0.000474807,0.000474807
2,170.194,1.16954,1.6761,0.93451,0.84033,0.73432,0.77071,0.38914,1.75531,2.03589,1.36616,0.000950211,0.000950211,0.000950211
3,253.894,1.21638,1.75589,0.95389,0.81978,0.70448,0.74867,0.37954,1.78278,2.13342,1.38563,0.0014219,0.0014219,0.0014219
4,337.171,1.26435,1.89556,0.98031,0.78004,0.73328,0.74746,0.37541,1.79736,2.17286,1.3698,0.00141647,0.00141647,0.00141647
5,420.509,1.27174,1.92749,0.98248,0.82388,0.7095,0.75759,0.37879,1.77506,2.14698,1.37969,0.00140678,0.00140678,0.00140678
6,504.049,1.28739,1.91116,0.98805,0.80544,0.71945,0.7564,0.38519,1.75119,2.11476,1.34076,0.00139438,0.00139438,0.00139438
7,587.71,1.29864,1.97947,0.99613,0.78519,0.72636,0.74228,0.37138,1.77038,2.18372,1.38535,0.00137933,0.00137933,0.00137933
8,671.379,1.2964,1.95995,0.99005,0.76854,0.7169,0.7431,0.36868,1.80128,2.17823,1.37955,0.00136168,0.00136168,0.00136168
9,754.987,1.29061,1.95426,0.99223,0.80007,0.70984,0.75016,0.37756,1.77958,2.13326,1.36426,0.0013415,0.0013415,0.0013415
10,838.653,1.27938,1.91445,0.98404,0.81563,0.72734,0.76049,0.38255,1.77185,2.06597,1.36475,0.00131888,0.00131888,0.00131888
11,922.534,1.32866,2.05281,1.01275,0.78442,0.74072,0.75775,0.37808,1.78339,2.10671,1.37111,0.00129391,0.00129391,0.00129391
12,1006.44,1.3294,2.03019,1.01553,0.79973,0.73592,0.76591,0.3799,1.7785,2.08555,1.36802,0.00126667,0.00126667,0.00126667
13,1090.27,1.31229,2.00002,1.00133,0.78957,0.73291,0.75536,0.39063,1.75633,2.07613,1.3437,0.00123728,0.00123728,0.00123728
14,1174.3,1.32394,2.03094,1.00655,0.81667,0.71884,0.75266,0.38433,1.76045,2.06779,1.3395,0.00120586,0.00120586,0.00120586
15,1257.98,1.31253,1.97075,1.00128,0.82159,0.72287,0.76156,0.38047,1.75361,2.03528,1.33997,0.00117253,0.00117253,0.00117253
16,1342.46,1.30914,1.99601,1.00045,0.80777,0.74016,0.76354,0.38397,1.77748,2.07857,1.3875,0.00113742,0.00113742,0.00113742
